"","cond","subj","block","trial","stim","resp","rt"
"638","neutral",17,8,8,1,"A",3220
"639","neutral",17,8,9,8,"B",6079
"640","neutral",17,8,10,5,"A",16469
"641","neutral",4,1,1,4,"A",3426
"642","neutral",4,1,2,3,"A",4612
"643","neutral",4,1,3,10,"B",1681
"644","neutral",4,1,4,1,"A",1396
"645","neutral",4,1,5,5,"A",1047
"646","neutral",4,1,6,2,"B",1396
"647","neutral",4,1,7,6,"B",1125
"648","neutral",4,1,8,9,"B",1058
"649","neutral",4,1,9,8,"B",970
"650","neutral",4,1,10,7,"A",1045
"651","neutral",4,2,1,2,"B",1204
"652","neutral",4,2,2,1,"A",723
"653","neutral",4,2,3,8,"B",847
"654","neutral",4,2,4,7,"A",602
"655","neutral",4,2,5,9,"B",684
"656","neutral",4,2,6,4,"A",645
"657","neutral",4,2,7,5,"A",691
"658","neutral",4,2,8,10,"B",731
"659","neutral",4,2,9,3,"A",724
"660","neutral",4,2,10,6,"B",670
"661","neutral",4,3,1,8,"B",1131
"662","neutral",4,3,2,6,"B",761
"663","neutral",4,3,3,9,"B",693
"664","neutral",4,3,4,3,"A",679
"665","neutral",4,3,5,10,"B",691
"666","neutral",4,3,6,1,"A",1166
"667","neutral",4,3,7,7,"A",684
"668","neutral",4,3,8,4,"A",644
"669","neutral",4,3,9,5,"A",639
"670","neutral",4,3,10,2,"B",687
