subj,block,trial,stim,resp,rt
15,7,8,1,A,5560
15,7,9,9,B,6962
15,7,10,5,A,7960
15,8,1,2,A,16021
15,8,2,1,A,5010
15,8,3,7,B,3492
15,8,4,4,A,4890
15,8,5,9,B,4848
15,8,6,3,A,4135
15,8,7,8,B,7638
15,8,8,5,A,4133
15,8,9,6,B,4166
15,8,10,10,B,5240
17,1,1,1,A,5723
17,1,2,8,B,3370
17,1,3,6,B,5445
17,1,4,7,A,2533
17,1,5,2,B,1853
17,1,6,5,A,1934
17,1,7,9,B,1335
17,1,8,4,A,1825
17,1,9,3,A,1531
17,1,10,10,B,1691
17,2,1,1,A,1608
17,2,2,4,A,1938
17,2,3,10,B,1338
17,2,4,9,B,1419
17,2,5,8,B,1138
17,2,6,7,A,1059
17,2,7,5,A,1131
17,2,8,3,A,1572
17,2,9,2,B,979
17,2,10,6,B,1092
17,3,1,7,A,2927
17,3,2,10,B,860
17,3,3,9,B,852
17,3,4,1,A,857
17,3,5,2,B,1169
17,3,6,3,A,976
17,3,7,4,A,2329
17,3,8,6,B,900
17,3,9,8,B,1258
17,3,10,5,A,3724
17,4,1,7,A,1785
17,4,2,9,B,726
17,4,3,1,A,859
17,4,4,8,B,1332
17,4,5,2,B,2053
